neighborhood,Borough,MODZCTA
Hillcrest,Queens,11365
Fresh Meadows,Queens,11366
Pomonok,Queens,11366
Utopia,Queens,11366
Kew Gardens Hills,Queens,11367
Corona,Queens,11368
North Corona,Queens,11368
East Elmhurst,Queens,11369
Jackson Heights,Queens,11372
Elmhurst,Queens,11373
Middle Village,Queens,11373
Rego Park,Queens,11374
Forest Hills,Queens,11375
Woodside,Queens,11377
Sunnyside,Queens,11377
Maspeth,Queens,11378
Ridgewood,Queens,11379
Glendale,Queens,11385
Jamaica,Queens,11412
Hollis,Queens,11412
St. Albans,Queens,11412
Brookville,Queens,11413
Laurelton,Queens,11413
Springfield Gardens,Queens,11413
Hamilton Beach,Queens,11414
Old Howard Beach,Queens,11414
Rockwood Park,Queens,11414
Lindenwood,Queens,11414
Kew Gardens,Queens,11415
Ozone Park,Queens,11417
Richmond Hill,Queens,11418
South Richmond Hill,Queens,11419
South Ozone Park,Queens,11420
Woodhaven,Queens,11421
Rosedale,Queens,11422
Bellerose,Queens,11426
Glen Oaks,Queens,11426
Queens,Queens,11427
Cambria Heights,Queens,11429
Queens Village,Queens,11429
Jamaica Estates,Queens,11432
Jamaica Hills,Queens,11432
South Jamaica,Queens,11434
Briarwood,Queens,11435
Bayswater,Queens,11691
Edgemere,Queens,11691
Far Rockaway,Queens,11691
Arverne,Queens,11692
Broad Channel,Queens,11693
Hammels,Queens,11693
Rockaway All,Queens,11693
Belle Harbor,Queens,11694
Neponsit,Queens,11694
Rockaway Park,Queens,11694
Breezy Point,Queens,11697
